customer_id,age,gender,region,tenure_months,credit_score,annual_income,days_since_last_login,complaints_last_year,transaction_frequency,num_products,has_current_account,has_savings_account,has_credit_card,has_mortgage,avg_transaction_value,app_usage_hours,churned
CUST10000,39,Male,Wales,53,444,28786.124055491102,2,0,21,5,1,1,0,1,80.73408146871354,4.238799598670131,0
CUST10001,74,Male,East_of_England,3,478,35815.61055283562,0,1,13,5,1,1,1,1,43.39429028415891,5.500654344424653,0
CUST10002,31,Female,South_East,81,669,50464.12490251654,16,0,4,2,1,0,0,0,40.138608470928006,5.298501653591781,0
CUST10003,31,Female,South_East,87,630,58422.14490808902,9,0,19,4,1,1,1,0,114.13343828134505,3.2684535874586857,0
CUST10004,61,Female,South_East,8,632,54852.322578903426,8,0,4,1,1,1,1,0,238.59073363521665,4.887547755255106,0
CUST10005,61,Male,Wales,104,729,59480.19754786946,9,0,13,3,1,1,1,1,259.778813991202,1.8211611457269126,0
CUST10006,66,Female,London,52,739,34704.73803681233,0,0,13,5,1,0,0,0,234.48053183217095,4.228291307263494,0
CUST10007,47,Female,Yorkshire,62,459,62865.000276142586,86,1,24,4,1,1,1,1,142.7799898341681,3.3876939385675318,1
CUST10008,50,Female,East_Midlands,51,723,117885.06066648109,30,0,17,2,1,0,1,0,174.18408718333941,3.653359138790701,0
CUST10009,34,Female,Wales,59,512,37201.04324083255,78,3,17,5,1,0,0,0,547.3498341587153,10.717070533517978,0
CUST10010,51,Female,East_Midlands,70,753,63610.16896139895,2,0,3,3,1,0,1,0,181.46917475374687,6.178432764858059,0
CUST10011,37,Male,West_Midlands,96,679,43096.847794376576,5,0,23,1,1,1,1,1,60.17578337898346,6.756698957402304,0
CUST10012,58,Female,East_of_England,99,414,50335.25922536507,1,2,26,4,1,0,1,0,176.46139114556948,6.494893059021438,0
CUST10013,33,Male,East_of_England,61,760,43894.01110087789,0,3,13,1,1,1,1,0,35.38064328304249,4.085582932973,0
CUST10014,50,Female,South_West,28,720,51023.838948085504,81,0,7,4,1,1,1,0,167.20134428059166,1.5779691370730595,0
CUST10015,35,Female,South_East,25,724,51152.13537035456,15,1,17,2,1,0,0,1,142.52913753248941,5.538100789592736,0
CUST10016,52,Male,London,50,752,44623.641432212,4,4,17,5,1,1,0,1,992.1769790823563,3.655580902880242,1
CUST10017,39,Female,South_West,58,465,58720.96973349773,10,1,21,2,1,1,1,1,84.64722821020929,8.76203139007074,0
CUST10018,69,Male,London,16,727,36536.14455274533,88,0,20,3,1,1,0,0,172.8752594220552,2.890403534357654,0
CUST10019,51,Male,South_East,96,416,31979.848127590772,31,1,23,1,1,1,1,0,38.347955844622255,7.886572680991042,1
CUST10020,74,Male,North_West,29,633,33025.76242813852,62,0,18,2,1,1,1,0,407.9817485070896,2.6334753213691324,0
CUST10021,73,Female,West_Midlands,69,554,49137.320303829954,5,1,17,5,1,1,1,0,106.40400497907945,4.3663161485087265,0
CUST10022,30,Male,East_Midlands,12,779,40635.475591032235,4,0,27,1,1,0,1,0,73.88171784014695,11.469614707404748,0
CUST10023,54,Male,South_West,73,450,44260.147967962126,1,0,4,3,1,1,1,0,122.98711413476458,4.556926434795557,1
CUST10024,65,Female,West_Midlands,89,577,47704.50841834772,2,2,27,1,1,0,1,1,97.30092133329352,5.564378774727114,0
CUST10025,38,Male,London,100,693,85586.43459770335,3,0,12,5,1,1,1,0,195.69137083996387,6.541451071177194,0
CUST10026,29,Male,East_Midlands,9,395,46422.360830911624,32,0,18,5,1,0,1,0,307.9593852691871,1.0336120553619297,0
CUST10027,39,Female,South_East,116,680,39934.4285061764,11,0,20,1,1,1,0,1,71.0858508958662,10.278450641783675,0
CUST10028,45,Male,West_Midlands,58,742,51061.07718488645,62,0,20,1,1,1,0,0,215.12874684230005,1.5223290644618672,0
CUST10029,74,Male,West_Midlands,18,738,23705.714322245964,55,0,6,1,1,0,1,0,68.61698915770246,1.7598734572473693,1
CUST10030,70,Male,East_Midlands,8,518,43699.4032531644,2,1,19,2,1,1,0,1,48.87808096806287,2.0848773302116173,1
CUST10031,30,Male,South_West,46,633,47660.768143012196,3,0,17,3,1,1,0,0,211.48184851604552,10.980598759493596,0
CUST10032,39,Male,North_West,59,758,40548.49982419316,10,1,21,2,1,1,0,0,153.97599496454745,4.9130652870034925,0
CUST10033,26,Female,North_West,110,675,28144.459319240443,6,1,23,1,1,1,0,0,137.01309604247322,6.05731486205308,0
CUST10034,67,Male,South_West,12,458,28989.719769523865,4,0,20,5,1,0,0,0,567.286779262314,1.7638510453105185,0
CUST10035,69,Female,London,38,734,34377.88888000371,0,0,21,1,1,0,1,1,83.54826417051135,10.127959090788073,0
CUST10036,68,Female,Yorkshire,111,614,23376.797230350414,14,4,22,1,1,1,1,0,178.41394377127747,14.941463843546124,0
CUST10037,43,Male,East_Midlands,46,684,24002.25518680096,1,0,3,2,1,1,1,0,92.1196914804003,2.0435706637333393,0
CUST10038,69,Female,East_Midlands,79,706,50004.910472301606,3,2,12,2,1,1,0,1,131.80118093041452,12.96143528300486,0
CUST10039,68,Female,Yorkshire,15,712,52090.89095851735,0,0,23,1,1,1,0,1,64.21776123539638,6.316628570168792,0
CUST10040,58,Male,Scotland,109,621,101653.98087366622,0,0,20,2,1,1,1,0,73.79193038745856,10.99769726512189,0
CUST10041,74,Male,West_Midlands,33,599,36004.88904598085,46,0,21,5,1,0,0,1,71.99254487376385,2.7839284926655266,1
CUST10042,25,Male,Yorkshire,26,574,52743.97654802931,37,1,8,2,1,1,0,0,64.80032678662975,5.136370125952297,1
